Week,Index,SearchWord,Category
2021-05-09,2,Croatia,All
2021-05-16,2,Croatia,All
2021-05-23,2,Croatia,All
2021-09-26,2,Croatia,All
2021-10-03,2,Croatia,All
2021-10-17,2,Croatia,All
2021-10-31,2,Croatia,All
2021-11-07,2,Croatia,All
2021-11-21,2,Croatia,All
2021-12-12,2,Croatia,All
2021-12-26,2,Croatia,All
2022-01-02,2,Croatia,All
2022-01-09,2,Croatia,All
2022-01-16,2,Croatia,All
2022-01-23,2,Croatia,All
2022-01-30,2,Croatia,All
2022-02-06,2,Croatia,All
2022-02-13,2,Croatia,All
2022-10-09,2,Croatia,All
2022-10-16,2,Croatia,All
2022-10-23,2,Croatia,All
2022-10-30,2,Croatia,All
2022-11-06,2,Croatia,All
2018-05-27,5,Croatia,All
2018-06-03,8,Croatia,All
2018-06-10,11,Croatia,All
2018-06-17,25,Croatia,All
2018-06-24,13,Croatia,All
2018-07-01,43,Croatia,All
2018-07-08,97,Croatia,All
2018-07-15,59,Croatia,All
2018-07-22,8,Croatia,All
2018-07-29,6,Croatia,All
2018-08-05,6,Croatia,All
2018-08-12,5,Croatia,All
2018-08-19,5,Croatia,All
2018-09-02,5,Croatia,All
2018-09-09,5,Croatia,All
2018-10-07,5,Croatia,All
2018-11-18,5,Croatia,All
2019-05-26,5,Croatia,All
2019-06-02,5,Croatia,All
2019-06-09,5,Croatia,All
2019-06-16,5,Croatia,All
2019-06-23,5,Croatia,All
2019-06-30,5,Croatia,All
2019-07-07,5,Croatia,All
2019-07-14,5,Croatia,All
2019-07-21,5,Croatia,All
2019-07-28,5,Croatia,All
2019-08-04,5,Croatia,All
2019-08-11,5,Croatia,All
2020-03-29,1,Croatia,All
2020-04-05,1,Croatia,All
2020-04-12,1,Croatia,All
2020-04-19,1,Croatia,All
2020-04-26,1,Croatia,All
2020-09-27,1,Croatia,All
2020-10-18,1,Croatia,All
2020-10-25,1,Croatia,All
2020-11-01,1,Croatia,All
2020-11-22,1,Croatia,All
2020-11-29,1,Croatia,All
2020-12-06,1,Croatia,All
2020-12-13,1,Croatia,All
2020-12-20,1,Croatia,All
2021-01-10,1,Croatia,All
2021-01-17,1,Croatia,All
2021-01-24,1,Croatia,All
2021-01-31,1,Croatia,All
2021-02-07,1,Croatia,All
2021-02-14,1,Croatia,All
2021-02-28,1,Croatia,All
2021-06-06,6,Croatia,All
2021-06-13,20,Croatia,All
2021-06-20,10,Croatia,All
2021-06-27,14,Croatia,All
2021-10-24,1,Croatia,All
2021-11-28,1,Croatia,All
2021-12-05,1,Croatia,All
2021-12-19,1,Croatia,All
2022-06-05,6,Croatia,All
2022-06-12,6,Croatia,All
2022-07-24,5,Croatia,All
2022-11-20,14,Croatia,All
2022-11-27,21,Croatia,All
2022-12-04,78,Croatia,All
2022-12-11,100,Croatia,All
2022-12-18,10,Croatia,All
2018-05-27,5,Florence,All
2018-06-24,5,Florence,All
2018-09-02,9,Florence,All
2018-09-09,100,Florence,All
2018-09-16,17,Florence,All
2018-09-23,5,Florence,All
2018-09-30,5,Florence,All
2019-12-29,5,Florence,All
2020-10-18,2,Florence,All
2020-11-01,2,Florence,All
2020-11-22,2,Florence,All
2020-12-06,2,Florence,All
2020-12-20,2,Florence,All
